,Unnamed: 0,Dmix,Lmix,X,pressure
0,0,0.003,0.01,0.00351854375,8499342.5
1,1,0.003,0.01,0.010185317,8499268.0
2,2,0.003,0.01,0.0140822749999999,8497873.5
3,3,0.003,0.01,0.01772882,8490804.5
4,4,0.003,0.01,0.021375695,8392771.5
5,5,0.003,0.01,0.0242615849999999,6469939.5
6,6,0.003,0.01,0.025491005,5316532.0
7,7,0.003,0.01,0.02641119,3762120.5
8,8,0.003,0.01,0.026931055,3220999.0
9,9,0.003,0.01,0.0274731399999999,3219476.5
10,10,0.003,0.01,0.0280699349999999,3270671.0
11,11,0.003,0.01,0.028618425,3416186.5
12,12,0.003,0.01,0.029126275,3197621.0
13,13,0.003,0.01,0.02966719,3141346.5
14,14,0.003,0.01,0.0302510449999999,3165300.5
15,15,0.003,0.01,0.0309108,2835221.0
16,16,0.003,0.01,0.0317271149999999,2457478.5
17,17,0.003,0.01,0.032620015,2562060.5
18,18,0.003,0.01,0.03345005,2700052.5
19,19,0.003,0.01,0.0343109,2604231.0
20,20,0.003,0.01,0.035194235,2584341.0
21,21,0.003,0.01,0.036056305,2645766.0
22,22,0.003,0.01,0.036951245,2699369.0
23,23,0.003,0.01,0.037825125,2743790.0
24,24,0.003,0.01,0.038708165,2751033.5
25,25,0.003,0.01,0.03960908,2704675.0
26,26,0.003,0.01,0.04057678,2442875.0
27,27,0.003,0.01,0.04221195,2473992.0
28,28,0.003,0.01,0.044170515,3113213.0
29,29,0.003,0.01,0.046176685,3324028.0
30,30,0.003,0.01,0.048182905,3446356.5
31,31,0.003,0.01,0.0501889499999999,3527036.0
32,32,0.003,0.01,0.05219495,3583953.5
33,33,0.003,0.01,0.054200885,3625929.5
34,34,0.003,0.01,0.056206755,3657790.5
35,35,0.003,0.01,0.05821257,3682526.5
36,36,0.003,0.01,0.06021836,3702059.5
37,37,0.003,0.01,0.062224115,3717692.0
38,38,0.003,0.01,0.06422984,3730355.0
39,39,0.003,0.01,0.0662355349999999,3740717.0
40,40,0.003,0.01,0.06824123,3749274.0
41,41,0.003,0.01,0.0702469,3756394.5
42,42,0.003,0.01,0.0722525,3762366.0
43,43,0.003,0.01,0.07425809,3767406.0
44,44,0.003,0.01,0.0761638,3771465.0
45,45,0.003,0.01,0.078168975,3775104.5
46,46,0.003,0.01,0.080174525,3778232.5
47,47,0.003,0.01,0.08218007,3780929.0
48,48,0.003,0.01,0.08418562,3783264.0
49,49,0.003,0.01,0.086191165,3785293.5
50,50,0.003,0.01,0.088196745,3787049.0
51,51,0.003,0.01,0.090202435,3788567.0
52,52,0.003,0.01,0.0922082549999999,3789965.0
53,53,0.003,0.01,0.0942144499999999,3791258.5
54,54,0.003,0.01,0.096220865,3792409.5
55,55,0.003,0.01,0.0982272749999999,3793424.0
56,56,0.003,0.01,0.10023346,3794309.5
57,57,0.003,0.01,0.1022395,3795080.5
58,58,0.003,0.01,0.10424545,3795762.0
59,59,0.003,0.01,0.1062512999999999,3796366.5
60,60,0.003,0.01,0.1082569999999999,3796907.5
61,61,0.003,0.01,0.1102627,3797394.0
62,62,0.003,0.01,0.1122684499999999,3797833.0
63,63,0.003,0.01,0.11427415,3798228.0
64,64,0.003,0.01,0.1162797999999999,3798586.0
65,65,0.003,0.01,0.11828545,3798911.5
66,66,0.003,0.01,0.120291,3799206.5
67,67,0.003,0.01,0.12229655,3799476.0
68,68,0.003,0.01,0.12430195,3799720.5
69,69,0.003,0.01,0.1263435,3799915.5
70,70,0.003,0.01,0.1286864999999999,3799986.0
71,71,0.003,0.01,0.1310965,3799994.5
72,72,0.003,0.01,0.13350605,3800000.0
0,0,0.003,0.02,0.00380001065,8499342.5
1,1,0.003,0.02,0.0107348134999999,8499210.5
2,2,0.003,0.02,0.01484748,8497233.5
3,3,0.003,0.02,0.018814215,8483566.5
4,4,0.003,0.02,0.02270322,8028002.0
5,5,0.003,0.02,0.0247023,5835227.0
6,6,0.003,0.02,0.025911405,4980686.0
7,7,0.003,0.02,0.026714345,3214224.0
8,8,0.003,0.02,0.0273216499999999,3244646.0
9,9,0.003,0.02,0.0279533199999999,3254030.5
10,10,0.003,0.02,0.0285600299999999,3291701.5
11,11,0.003,0.02,0.02916897,3176207.0
12,12,0.003,0.02,0.029807645,3086938.5
13,13,0.003,0.02,0.0304988249999999,3015502.5
14,14,0.003,0.02,0.03137941,2682595.0
15,15,0.003,0.02,0.03241538,2712069.5
16,16,0.003,0.02,0.03346158,2724210.0
17,17,0.003,0.02,0.03446865,2690429.0
18,18,0.003,0.02,0.035521405,2713362.0
19,19,0.003,0.02,0.03652437,2716941.5
20,20,0.003,0.02,0.037574365,2731797.0
21,21,0.003,0.02,0.0385879699999999,2750447.5
22,22,0.003,0.02,0.03962726,2770421.0
23,23,0.003,0.02,0.0407906199999999,2835751.0
24,24,0.003,0.02,0.042667515,3108151.5
25,25,0.003,0.02,0.0446733549999999,3296249.0
26,26,0.003,0.02,0.0466793499999999,3416297.0
27,27,0.003,0.02,0.048685275,3499548.0
28,28,0.003,0.02,0.050591325,3557287.5
29,29,0.003,0.02,0.052597525,3602999.0
30,30,0.003,0.02,0.05460365,3638010.5
31,31,0.003,0.02,0.05660965,3665293.0
32,32,0.003,0.02,0.05861562,3686945.0
33,33,0.003,0.02,0.0606214999999999,3704383.5
34,34,0.003,0.02,0.062627315,3718604.5
35,35,0.003,0.02,0.06463312,3730321.0
36,36,0.003,0.02,0.06663886,3740059.0
37,37,0.003,0.02,0.068644555,3748218.5
38,38,0.003,0.02,0.070650225,3755097.5
39,39,0.003,0.02,0.072655885,3760941.5
40,40,0.003,0.02,0.074569365,3765702.5
41,41,0.003,0.02,0.07656684,3769956.5
42,42,0.003,0.02,0.07857238,3773652.5
