,Dmix,Lmix,X,pressure
0,0.003,0.01,0.0023494791333333333,3297861.0
1,0.003,0.01,0.007257441666666668,3295641.0
2,0.003,0.01,0.012099561,3289487.3333333335
3,0.003,0.01,0.0144193,3284079.6666666665
4,0.003,0.01,0.015392276666666666,3282581.3333333335
5,0.003,0.01,0.016362773333333334,3273938.6666666665
6,0.003,0.01,0.01733224333333333,3233283.3333333335
7,0.003,0.01,0.018330076666666664,2968372.0
8,0.003,0.01,0.019608606666666663,2549167.0
9,0.003,0.01,0.020959966666666663,2626518.3333333335
10,0.003,0.01,0.022311323333333338,2609867.3333333335
11,0.003,0.01,0.023662696666666663,2620076.3333333335
12,0.003,0.01,0.02501406,2710701.6666666665
13,0.003,0.01,0.026365440000000004,2754518.3333333335
14,0.003,0.01,0.02771681,2664012.0
15,0.003,0.01,0.02975433333333333,2440335.3333333335
16,0.003,0.01,0.03275785,3190905.6666666665
17,0.003,0.01,0.03576857666666667,3428483.3333333335
18,0.003,0.01,0.03877922,3547722.0
19,0.003,0.01,0.04178985,3619634.3333333335
20,0.003,0.01,0.044800469999999995,3666775.0
21,0.003,0.01,0.04781107666666666,3699233.0
22,0.003,0.01,0.05082166666666666,3722348.0
23,0.003,0.01,0.05383225333333333,3739253.0
24,0.003,0.01,0.056842846666666676,3751889.3333333335
25,0.003,0.01,0.059853440000000015,3761506.0
26,0.003,0.01,0.06286404,3768935.6666666665
27,0.003,0.01,0.06587465666666667,3774752.0
28,0.003,0.01,0.06888529,3779360.6666666665
29,0.003,0.01,0.07189591333333335,3783051.0
30,0.003,0.01,0.07490654333333333,3786027.0
31,0.003,0.01,0.07791715333333335,3788420.3333333335
32,0.003,0.01,0.08092774666666666,3790424.6666666665
33,0.003,0.01,0.08393847666666666,3792285.0
34,0.003,0.01,0.08694923000000002,3793827.6666666665
35,0.003,0.01,0.08995982999999999,3795024.6666666665
36,0.003,0.01,0.09297042333333334,3796020.0
37,0.003,0.01,0.09598101666666667,3796861.0
38,0.003,0.01,0.0989916,3797578.6666666665
39,0.003,0.01,0.10200216666666667,3798193.6666666665
40,0.003,0.01,0.10501276666666665,3798725.0
41,0.003,0.01,0.10802333333333333,3799184.0
42,0.003,0.01,0.11103400000000001,3799587.6666666665
43,0.003,0.01,0.11408886666666665,3799963.3333333335
44,0.003,0.01,0.11758850000000003,3800002.6666666665
45,0.003,0.01,0.12120296666666668,3800000.0
