,Unnamed: 0,Dmix,Lmix,X,velocity
0,0,0.003,0.01,0.0035185266,1.3561505
1,1,0.003,0.01,0.0101655864999999,1.6211665
2,2,0.003,0.01,0.013945425,2.5887725
3,3,0.003,0.01,0.01745427,5.266111
4,4,0.003,0.01,0.020963345,16.890123
5,5,0.003,0.01,0.02374975,71.24241500000001
6,6,0.003,0.01,0.0249738249999999,98.791945
7,7,0.003,0.01,0.025924045,111.90385
8,8,0.003,0.01,0.026503515,166.30725
9,9,0.003,0.01,0.02705749,201.94375
10,10,0.003,0.01,0.0276383149999999,119.679985
11,11,0.003,0.01,0.028239155,114.501215
12,12,0.003,0.01,0.028801545,180.2697
13,13,0.003,0.01,0.0293959299999999,146.0608
14,14,0.003,0.01,0.0300425699999999,131.4824
15,15,0.003,0.01,0.03086181,183.1114
16,16,0.003,0.01,0.031694845,177.54514999999998
17,17,0.003,0.01,0.03257842,156.15955
18,18,0.003,0.01,0.0334794,165.7823
19,19,0.003,0.01,0.03438039,167.58665
20,20,0.003,0.01,0.0352813249999999,160.06374999999997
21,21,0.003,0.01,0.0361717399999999,155.8953
22,22,0.003,0.01,0.037038125,151.92680000000004
23,23,0.003,0.01,0.037939045,149.51765
24,24,0.003,0.01,0.038839975,150.26915
25,25,0.003,0.01,0.039748665,157.0224
26,26,0.003,0.01,0.0413191299999999,168.73845
27,27,0.003,0.01,0.043323625,115.9281
28,28,0.003,0.01,0.045328125,96.2846
29,29,0.003,0.01,0.0473326249999999,82.369145
30,30,0.003,0.01,0.049337125,71.809165
31,31,0.003,0.01,0.051341625,63.56723999999999
32,32,0.003,0.01,0.0533461449999999,56.96238
33,33,0.003,0.01,0.055350645,51.54589
34,34,0.003,0.01,0.0573551149999999,47.01604999999999
35,35,0.003,0.01,0.059359575,43.16870999999999
36,36,0.003,0.01,0.061364025,39.86048
37,37,0.003,0.01,0.0633685,36.985175000000005
38,38,0.003,0.01,0.0653729999999999,34.463995
39,39,0.003,0.01,0.0673774999999999,32.237105
40,40,0.003,0.01,0.06938201,30.25773
41,41,0.003,0.01,0.0713865249999999,28.488494999999997
42,42,0.003,0.01,0.073391025,26.898845
43,43,0.003,0.01,0.0753955249999999,25.46361
44,44,0.003,0.01,0.077373715,24.177075
45,45,0.003,0.01,0.07930427,23.037425
46,46,0.003,0.01,0.08130867,21.951985
47,47,0.003,0.01,0.0833130699999999,20.95156
48,48,0.003,0.01,0.085317485,20.015135000000004
49,49,0.003,0.01,0.087321975,19.06207
50,50,0.003,0.01,0.08932648,18.03341
51,51,0.003,0.01,0.091331015,17.062369999999998
52,52,0.003,0.01,0.093335545,16.157019999999996
53,53,0.003,0.01,0.09534007,15.312639999999998
54,54,0.003,0.01,0.0973445949999999,14.529535000000005
55,55,0.003,0.01,0.0993491399999999,13.813425
56,56,0.003,0.01,0.1013536499999999,13.16618
57,57,0.003,0.01,0.10335815,12.580855
58,58,0.003,0.01,0.1053627499999999,12.048139999999998
59,59,0.003,0.01,0.1073672,11.560145
60,60,0.003,0.01,0.1093717999999999,11.11079
61,61,0.003,0.01,0.11137625,10.695314999999995
62,62,0.003,0.01,0.1133808499999999,10.309825
63,63,0.003,0.01,0.1153853,9.951086500000002
64,64,0.003,0.01,0.1173899,9.6165415
65,65,0.003,0.01,0.1193944,9.304616
66,66,0.003,0.01,0.1213989,9.016005
67,67,0.003,0.01,0.1234033,8.756834000000001
68,68,0.003,0.01,0.1254229,8.5408095
69,69,0.003,0.01,0.12772635,8.366940000000001
70,70,0.003,0.01,0.1301359999999999,8.247341000000002
71,71,0.003,0.01,0.13254585,8.157723
0,0,0.003,0.02,0.0038000155999999,1.360127
1,1,0.003,0.02,0.0106978295,1.6958275
2,2,0.003,0.02,0.014656175,2.936234
3,3,0.003,0.02,0.0184592599999999,6.924256
4,4,0.003,0.02,0.022216925,33.23425
5,5,0.003,0.02,0.024333795,87.83945500000002
6,6,0.003,0.02,0.025551055,106.51720000000005
7,7,0.003,0.02,0.026335315,142.81545
8,8,0.003,0.02,0.02695327,202.13355
9,9,0.003,0.02,0.027606755,130.22395
10,10,0.003,0.02,0.028307825,126.625675
11,11,0.003,0.02,0.02896389,178.8156
12,12,0.003,0.02,0.02966004,133.4098
13,13,0.003,0.02,0.03053376,165.744
14,14,0.003,0.02,0.031549335,166.83959999999996
15,15,0.003,0.02,0.032541665,154.82715
16,16,0.003,0.02,0.033550145,162.3849
17,17,0.003,0.02,0.034602795,155.1643
18,18,0.003,0.02,0.0356554499999999,153.68075000000002
19,19,0.003,0.02,0.0367080949999999,150.81014999999996
20,20,0.003,0.02,0.0377607099999999,148.0635
21,21,0.003,0.02,0.0387684099999999,145.32835
22,22,0.003,0.02,0.039839095,141.15900000000002
23,23,0.003,0.02,0.041561835,123.59685
24,24,0.003,0.02,0.0435665,106.008835
25,25,0.003,0.02,0.045571185,92.50228
26,26,0.003,0.02,0.047575865,81.51126500000001
27,27,0.003,0.02,0.04958059,72.40161499999999
28,28,0.003,0.02,0.05158531,64.825635
29,29,0.003,0.02,0.053589985,58.527795000000005
30,30,0.003,0.02,0.055594685,53.2694
31,31,0.003,0.02,0.05759936,48.83581
32,32,0.003,0.02,0.059604065,45.054460000000006
33,33,0.003,0.02,0.061608735,41.79356
34,34,0.003,0.02,0.063613385,38.953855
35,35,0.003,0.02,0.0656180349999999,36.459915
36,36,0.003,0.02,0.067622685,34.25304500000001
37,37,0.003,0.02,0.06962735,32.28695
38,38,0.003,0.02,0.071631985,30.52446000000001
39,39,0.003,0.02,0.07363665,28.93551
40,40,0.003,0.02,0.0756413,27.495285000000003
41,41,0.003,0.02,0.0776459499999999,26.18346
42,42,0.003,0.02,0.07965061,24.98281
43,43,0.003,0.02,0.0816337599999999,23.88884
44,44,0.003,0.02,0.0835596,22.911215
45,45,0.003,0.02,0.08556421,21.95867
46,46,0.003,0.02,0.08756885,21.02701
47,47,0.003,0.02,0.08957354,20.04092
48,48,0.003,0.02,0.0915782449999999,19.067855
49,49,0.003,0.02,0.09358295,18.149805000000004
50,50,0.003,0.02,0.095587655,17.290680000000002
51,51,0.003,0.02,0.09759236,16.488490000000002
52,52,0.003,0.02,0.09959705,15.744875
53,53,0.003,0.02,0.1016017999999999,15.065765
