,Unnamed: 0,Dmix,Lmix,X,velocity
0,0,0.003,0.01,0.00136995045,6.402258000000001
1,1,0.003,0.01,0.0046037605,8.2194525
2,2,0.003,0.01,0.0078750945,10.302175
3,3,0.003,0.01,0.0111440845,13.7945
4,4,0.003,0.01,0.0137425749999999,18.316645
5,5,0.003,0.01,0.01450824,19.35707
6,6,0.003,0.01,0.015133395,19.73435
7,7,0.003,0.01,0.01578305,21.140685
8,8,0.003,0.01,0.016422455,25.29617
9,9,0.003,0.01,0.017054965,34.317495
10,10,0.003,0.01,0.01768494,51.900775
11,11,0.003,0.01,0.0183433,92.46508
12,12,0.003,0.01,0.0192058949999999,129.15245
13,13,0.003,0.01,0.02010685,141.9884
14,14,0.003,0.01,0.02100784,124.34924999999998
15,15,0.003,0.01,0.02190879,122.60099999999996
16,16,0.003,0.01,0.022809715,127.28979999999996
17,17,0.003,0.01,0.02371063,124.4447
18,18,0.003,0.01,0.024611555,122.22175
19,19,0.003,0.01,0.0255125,121.3777
20,20,0.003,0.01,0.02641342,123.30175
21,21,0.003,0.01,0.027306435,128.22020000000003
22,22,0.003,0.01,0.028196105,144.71355
23,23,0.003,0.01,0.02980785,145.27360000000002
24,24,0.003,0.01,0.0317667399999999,84.69254000000001
25,25,0.003,0.01,0.033774185,72.47743499999999
26,26,0.003,0.01,0.035781125,64.29519
27,27,0.003,0.01,0.03778802,56.92521999999999
28,28,0.003,0.01,0.039794915,50.569455000000005
29,29,0.003,0.01,0.0418018,45.15372000000001
30,30,0.003,0.01,0.043808655,40.51487
31,31,0.003,0.01,0.0458155049999999,36.50243
32,32,0.003,0.01,0.04782234,33.007580000000004
33,33,0.003,0.01,0.0498291699999999,29.94927
34,34,0.003,0.01,0.051835955,27.262460000000004
35,35,0.003,0.01,0.053842715,24.894925
36,36,0.003,0.01,0.0558494799999999,22.803490000000004
37,37,0.003,0.01,0.0578562399999999,20.95142
38,38,0.003,0.01,0.059863,19.306455
39,39,0.003,0.01,0.061869765,17.840359999999997
40,40,0.003,0.01,0.0638765449999999,16.528789999999997
41,41,0.003,0.01,0.06588333,15.351300000000004
42,42,0.003,0.01,0.06789012,14.29098
43,43,0.003,0.01,0.0698969099999999,13.334055
44,44,0.003,0.01,0.0719036899999999,12.469964999999998
45,45,0.003,0.01,0.073910475,11.69219
46,46,0.003,0.01,0.07591726,11.00129
47,47,0.003,0.01,0.077924065,10.394305
48,48,0.003,0.01,0.0799309649999999,9.8571075
49,49,0.003,0.01,0.081937955,9.4570805
50,50,0.003,0.01,0.08394525,9.255205
51,51,0.003,0.01,0.08595252,9.067297
52,52,0.003,0.01,0.087959575,8.790403000000001
53,53,0.003,0.01,0.08996649,8.4560895
54,54,0.003,0.01,0.09197339,8.1008455
55,55,0.003,0.01,0.09398018,7.744894499999999
56,56,0.003,0.01,0.0959869399999999,7.398228000000001
57,57,0.003,0.01,0.0979936999999999,7.065551500000001
58,58,0.003,0.01,0.10000049,6.748724
59,59,0.003,0.01,0.10200715,6.448036999999999
60,60,0.003,0.01,0.10401395,6.1629705
61,61,0.003,0.01,0.10602085,5.8925505
62,62,0.003,0.01,0.1080275,5.635368
63,63,0.003,0.01,0.11003415,5.3887755
64,64,0.003,0.01,0.1120409,5.144173499999999
65,65,0.003,0.01,0.1140757,4.892678
66,66,0.003,0.01,0.11640655,4.955402500000001
67,67,0.003,0.01,0.11881625,5.0553375
68,68,0.003,0.01,0.12122595,5.130250500000001
0,0,0.003,0.02,0.0013137927499999,8.840701000000001
1,1,0.003,0.02,0.004449693,11.018325
2,2,0.003,0.02,0.0076229565,13.648049999999998
3,3,0.003,0.02,0.0107931609999999,17.908175000000004
4,4,0.003,0.02,0.01354419,24.100510000000003
5,5,0.003,0.02,0.0145191149999999,26.41073
6,6,0.003,0.02,0.0152538349999999,27.79094000000001
7,7,0.003,0.02,0.015990075,31.85344
8,8,0.003,0.02,0.0166971099999999,40.2279
9,9,0.003,0.02,0.017427185,57.94516500000001
10,10,0.003,0.02,0.0181700749999999,94.292675
11,11,0.003,0.02,0.0191467549999999,119.7176
12,12,0.003,0.02,0.02019946,119.5939
13,13,0.003,0.02,0.021252115,120.04184999999998
14,14,0.003,0.02,0.02230477,122.5725
15,15,0.003,0.02,0.023357415,122.3489
16,16,0.003,0.02,0.024410055,123.17590000000004
17,17,0.003,0.02,0.0254627149999999,123.59135
18,18,0.003,0.02,0.026515405,122.88535
19,19,0.003,0.02,0.02754058,121.6977
20,20,0.003,0.02,0.028789725,113.22299
21,21,0.003,0.02,0.03074739,88.177775
22,22,0.003,0.02,0.0327543,72.26704500000001
23,23,0.003,0.02,0.03476136,62.21737
24,24,0.003,0.02,0.0367684549999999,55.23215
25,25,0.003,0.02,0.038775565,49.905585
26,26,0.003,0.02,0.0407826,45.507105
27,27,0.003,0.02,0.042789585,41.66347499999999
28,28,0.003,0.02,0.0447964599999999,38.21725499999999
29,29,0.003,0.02,0.04680326,35.115219999999994
30,30,0.003,0.02,0.04881003,32.3297
31,31,0.003,0.02,0.05081675,29.827755000000003
32,32,0.003,0.02,0.0528234649999999,27.576025
33,33,0.003,0.02,0.05483016,25.54395
34,34,0.003,0.02,0.0568368,23.705
35,35,0.003,0.02,0.058843435,22.036735
36,36,0.003,0.02,0.060850075,20.520265
37,37,0.003,0.02,0.06285671,19.139750000000003
38,38,0.003,0.02,0.0648633,17.88174
39,39,0.003,0.02,0.066869895,16.73469
40,40,0.003,0.02,0.068876485,15.68842
41,41,0.003,0.02,0.07088307,14.733880000000005
42,42,0.003,0.02,0.072889665,13.863435
43,43,0.003,0.02,0.074896255,13.071635
44,44,0.003,0.02,0.0769029,12.356025
45,45,0.003,0.02,0.0789095499999999,11.71169
46,46,0.003,0.02,0.08091627,11.13854
47,47,0.003,0.02,0.08292317,10.657005
48,48,0.003,0.02,0.084930405,10.243065
49,49,0.003,0.02,0.086937695,9.885963
50,50,0.003,0.02,0.08894476,9.5418005
51,51,0.003,0.02,0.09095165,9.1857375
52,52,0.003,0.02,0.09295843,8.824232
53,53,0.003,0.02,0.0949651199999999,8.466354999999998
54,54,0.003,0.02,0.096971765,8.117884
55,55,0.003,0.02,0.0989784,7.781916500000001
56,56,0.003,0.02,0.10098515,7.459807500000001
57,57,0.003,0.02,0.1029916,7.151681000000001
58,58,0.003,0.02,0.1049981499999999,6.856169
59,59,0.003,0.02,0.10700455,6.567529500000001
60,60,0.003,0.02,0.10902595,6.286683000000001
61,61,0.003,0.02,0.1113295999999999,6.2790875
62,62,0.003,0.02,0.1137393499999999,6.371705499999999
63,63,0.003,0.02,0.1161489999999999,6.447767999999999
0,0,0.003,0.03,0.0011072882,7.406043500000001
1,1,0.003,0.03,0.003847733,8.703285
2,2,0.003,0.03,0.006703013,10.408794000000002
3,3,0.003,0.03,0.0095557285,12.917775
4,4,0.003,0.03,0.01240029,16.999000000000002
5,5,0.003,0.03,0.01415321,20.431095000000003
6,6,0.003,0.03,0.0149804,21.349105
7,7,0.003,0.03,0.015794435,23.338725
8,8,0.003,0.03,0.016596225,28.84213
9,9,0.003,0.03,0.017404305,39.253910000000005
10,10,0.003,0.03,0.0181792099999999,52.58777
11,11,0.003,0.03,0.019244805,58.903705
12,12,0.003,0.03,0.02039181,62.57522499999999
13,13,0.003,0.03,0.0215944,65.75411
14,14,0.003,0.03,0.0227992299999999,67.89031000000001
15,15,0.003,0.03,0.0239894999999999,69.649805
16,16,0.003,0.03,0.02514868,70.20658999999999
17,17,0.003,0.03,0.02635365,68.798435
18,18,0.003,0.03,0.0275139449999999,66.07752
19,19,0.003,0.03,0.028957325,60.58329000000001
20,20,0.003,0.03,0.030927885,51.23663499999999
21,21,0.003,0.03,0.032850255,44.529585
22,22,0.003,0.03,0.03483844,39.86689
23,23,0.003,0.03,0.036761095,36.55108
24,24,0.003,0.03,0.038730775,34.318765
25,25,0.003,0.03,0.04067274,32.86013500000001
26,26,0.003,0.03,0.04263646,31.655395
27,27,0.003,0.03,0.04458357,30.209174999999995
28,28,0.003,0.03,0.04658838,28.534155
29,29,0.003,0.03,0.04859299,26.805589999999995
30,30,0.003,0.03,0.05059748,25.131145
31,31,0.003,0.03,0.052601885,23.55321
32,32,0.003,0.03,0.0546062549999999,22.08391
33,33,0.003,0.03,0.0566105699999999,20.723144999999995
34,34,0.003,0.03,0.05861487,19.4655
35,35,0.003,0.03,0.060619125,18.303619999999995
36,36,0.003,0.03,0.0626233599999999,17.229749999999996
37,37,0.003,0.03,0.064627565,16.236409999999996
38,38,0.003,0.03,0.06663177,15.317090000000002
39,39,0.003,0.03,0.068635965,14.465975
40,40,0.003,0.03,0.07064008,13.67826
41,41,0.003,0.03,0.072644185,12.950125
42,42,0.003,0.03,0.0745817999999999,12.296469999999998
43,43,0.003,0.03,0.076552185,11.688865
44,44,0.003,0.03,0.0785562649999999,11.108344999999998
45,45,0.003,0.03,0.08056034,10.5688
46,46,0.003,0.03,0.082564555,10.069269000000002
47,47,0.003,0.03,0.084568785,9.6056945
48,48,0.003,0.03,0.0865731,9.1724195
49,49,0.003,0.03,0.08857748,8.768198000000002
50,50,0.003,0.03,0.09058186,8.3933635
51,51,0.003,0.03,0.092586115,8.044709999999998
52,52,0.003,0.03,0.094590335,7.7174655
53,53,0.003,0.03,0.096594555,7.4078895
54,54,0.003,0.03,0.0985986299999999,7.113316500000001
55,55,0.003,0.03,0.1006027199999999,6.830940000000001
56,56,0.003,0.03,0.10260665,6.554707499999999
57,57,0.003,0.03,0.104656,6.318343499999999
58,58,0.003,0.03,0.10701,6.334995999999999
59,59,0.003,0.03,0.1094195,6.3989650000000005
60,60,0.003,0.03,0.1118291999999999,6.453338499999999
0,0,0.003,0.04,0.00108997835,5.25329
1,1,0.003,0.04,0.003826517,6.049180999999999
2,2,0.003,0.04,0.0066709955,7.200359499999999
3,3,0.003,0.04,0.0095126959999999,8.882211
4,4,0.003,0.04,0.0123484499999999,11.590320000000002
5,5,0.003,0.04,0.01418345,13.840434999999996
6,6,0.003,0.04,0.01509858,14.310865000000002
7,7,0.003,0.04,0.01598347,15.64003
8,8,0.003,0.04,0.0168578549999999,19.259935
9,9,0.003,0.04,0.017713615,24.10616
10,10,0.003,0.04,0.018724145,31.126455
11,11,0.003,0.04,0.019987805,42.733875
12,12,0.003,0.04,0.02133671,50.13264000000001
13,13,0.003,0.04,0.02268813,58.412490000000005
14,14,0.003,0.04,0.024023785,62.84892000000001
15,15,0.003,0.04,0.02528362,55.56618999999999
16,16,0.003,0.04,0.02649217,44.871825
17,17,0.003,0.04,0.027692425,38.58836
18,18,0.003,0.04,0.0291695499999999,35.91864
19,19,0.003,0.04,0.031032475,34.61428
20,20,0.003,0.04,0.0329430949999999,34.167175
21,21,0.003,0.04,0.03491024,33.15426
22,22,0.003,0.04,0.036915895,31.49985
23,23,0.003,0.04,0.0389211749999999,29.558485
24,24,0.003,0.04,0.040926285,27.602935
25,25,0.003,0.04,0.0429313,25.746925
26,26,0.003,0.04,0.04493627,24.027475000000003
27,27,0.003,0.04,0.04694119,22.450595000000003
28,28,0.003,0.04,0.04894609,21.00939
29,29,0.003,0.04,0.05095098,19.69241
30,30,0.003,0.04,0.0529558499999999,18.487485
31,31,0.003,0.04,0.05496067,17.383045000000003
32,32,0.003,0.04,0.056965485,16.368425000000002
33,33,0.003,0.04,0.0589703099999999,15.434435
34,34,0.003,0.04,0.0609751,14.573019999999996
35,35,0.003,0.04,0.0629798599999999,13.777235
36,36,0.003,0.04,0.06498466,13.0412
37,37,0.003,0.04,0.066989405,12.359795
38,38,0.003,0.04,0.06899409,11.7283
39,39,0.003,0.04,0.0709987899999999,11.14224
40,40,0.003,0.04,0.07300356,10.596814999999998
41,41,0.003,0.04,0.07500837,10.087136
42,42,0.003,0.04,0.07701316,9.609101
43,43,0.003,0.04,0.0790179,9.1602535
44,44,0.003,0.04,0.08102265,8.73931
45,45,0.003,0.04,0.0830274,8.345077499999999
46,46,0.003,0.04,0.0850321399999999,7.9759145
47,47,0.003,0.04,0.087036885,7.629830000000001
48,48,0.003,0.04,0.089041625,7.3047945
49,49,0.003,0.04,0.0910463299999999,6.998961
50,50,0.003,0.04,0.0930509349999999,6.710656500000001
51,51,0.003,0.04,0.095055525,6.4381015
52,52,0.003,0.04,0.097006305,6.183347000000001
53,53,0.003,0.04,0.098964165,5.938438499999999
54,54,0.003,0.04,0.10118115,5.825496
55,55,0.003,0.04,0.1035293,5.861895500000001
56,56,0.003,0.04,0.10588,5.8807915
57,57,0.003,0.04,0.1082896499999999,5.903346000000001
0,0,0.003,0.05,0.00114334825,1.1570765000000005
1,1,0.003,0.05,0.004022111,1.3300305
2,2,0.003,0.05,0.0070127954999999,1.601164
3,3,0.003,0.05,0.009999315,2.0032925
4,4,0.003,0.05,0.01272914,2.6016600000000003
5,5,0.003,0.05,0.014402825,3.212324
6,6,0.003,0.05,0.01547308,4.061985
7,7,0.003,0.05,0.016410125,33.74232000000001
8,8,0.003,0.05,0.01733398,50.171415
9,9,0.003,0.05,0.018258545,57.273345000000006
10,10,0.003,0.05,0.0193538,60.8226
11,11,0.003,0.05,0.020806385,61.945235
12,12,0.003,0.05,0.02225343,60.30558
13,13,0.003,0.05,0.02368801,55.26903
14,14,0.003,0.05,0.025037055,42.78052000000001
15,15,0.003,0.05,0.02629424,27.56855
16,16,0.003,0.05,0.027437875,15.103834999999998
17,17,0.003,0.05,0.02855435,10.3716275
18,18,0.003,0.05,0.03003479,13.910664999999998
19,19,0.003,0.05,0.03198165,17.26187
20,20,0.003,0.05,0.03390867,17.723635
21,21,0.003,0.05,0.03591475,17.013085
22,22,0.003,0.05,0.0379207099999999,15.987705000000002
23,23,0.003,0.05,0.039926625,14.938504999999996
24,24,0.003,0.05,0.0419325,13.944245
25,25,0.003,0.05,0.0439383749999999,13.02318
26,26,0.003,0.05,0.0459442299999999,12.175909999999998
27,27,0.003,0.05,0.04795012,11.398025
28,28,0.003,0.05,0.049956015,10.68394
29,29,0.003,0.05,0.05196191,10.028173999999998
30,30,0.003,0.05,0.0539677999999999,9.4257135
31,31,0.003,0.05,0.055973635,8.872127000000003
32,32,0.003,0.05,0.057979455,8.363364
33,33,0.003,0.05,0.059985275,7.895593
34,34,0.003,0.05,0.0619910949999999,7.465036
35,35,0.003,0.05,0.063996925,7.067785500000001
36,36,0.003,0.05,0.066002785,6.6999245
37,37,0.003,0.05,0.068008615,6.357841500000001
38,38,0.003,0.05,0.07001447,6.038497
39,39,0.003,0.05,0.072020305,5.739476
40,40,0.003,0.05,0.0740261399999999,5.458891
41,41,0.003,0.05,0.07603193,5.195251000000001
42,42,0.003,0.05,0.0780377149999999,4.94735
43,43,0.003,0.05,0.08004346,4.7141805
44,44,0.003,0.05,0.08196526,4.500356000000001
45,45,0.003,0.05,0.0839546599999999,4.2956175000000005
46,46,0.003,0.05,0.085960405,4.097532
47,47,0.003,0.05,0.0879661499999999,3.909839
48,48,0.003,0.05,0.089971895,3.731428
49,49,0.003,0.05,0.09197764,3.5601025
50,50,0.003,0.05,0.093983295,3.3882180000000006
51,51,0.003,0.05,0.0960341449999999,3.2185985
52,52,0.003,0.05,0.09838817,3.2551490000000003
53,53,0.003,0.05,0.1007978049999999,3.2986705
54,54,0.003,0.05,0.1032075,3.3288905
0,0,0.0035,0.01,0.00136996335,5.997037000000001
1,1,0.0035,0.01,0.0046036225,7.703745
2,2,0.0035,0.01,0.0078748705,9.657001
3,3,0.0035,0.01,0.0111437715,12.936515
4,4,0.0035,0.01,0.01374227,17.176969999999997
5,5,0.0035,0.01,0.0145081149999999,18.140385
6,6,0.0035,0.01,0.015133595,18.471025
7,7,0.0035,0.01,0.01578339,19.805610000000005
8,8,0.0035,0.01,0.01642351,23.510905
9,9,0.0035,0.01,0.01705568,31.508115
10,10,0.0035,0.01,0.017685155,47.079495
11,11,0.0035,0.01,0.0183434099999999,82.01595
12,12,0.0035,0.01,0.019205925,103.57968
13,13,0.0035,0.01,0.02010689,100.663845
14,14,0.0035,0.01,0.021007825,95.77984
15,15,0.0035,0.01,0.02190874,93.39572
16,16,0.0035,0.01,0.02280965,89.34654000000002
17,17,0.0035,0.01,0.0237106,88.775815
18,18,0.0035,0.01,0.0246116,91.06657
19,19,0.0035,0.01,0.02546968,94.97059
20,20,0.0035,0.01,0.02636843,98.59373
21,21,0.0035,0.01,0.027269345,101.2656
22,22,0.0035,0.01,0.02817026,103.25815
23,23,0.0035,0.01,0.0290711749999999,104.84470000000002
24,24,0.0035,0.01,0.02997207,106.2042
25,25,0.0035,0.01,0.0308729649999999,107.4484
26,26,0.0035,0.01,0.0317738749999999,108.6819
27,27,0.0035,0.01,0.03267481,109.9562
28,28,0.0035,0.01,0.0335757299999999,111.262
29,29,0.0035,0.01,0.0344766549999999,112.74524999999998
30,30,0.0035,0.01,0.035377575,114.54460000000002
31,31,0.0035,0.01,0.0362785,116.86645
32,32,0.0035,0.01,0.03717941,120.51774999999998
33,33,0.0035,0.01,0.038088115,134.4377
34,34,0.0035,0.01,0.03960095,122.161955
35,35,0.0035,0.01,0.04156559,68.172305
36,36,0.0035,0.01,0.04357269,54.398925
37,37,0.0035,0.01,0.045579785,47.573815
38,38,0.0035,0.01,0.04758685,42.561240000000005
39,39,0.0035,0.01,0.0495938499999999,38.349835000000006
40,40,0.0035,0.01,0.05160085,34.685005000000004
41,41,0.0035,0.01,0.053551735,31.616685
42,42,0.0035,0.01,0.05551445,28.937255
43,43,0.0035,0.01,0.0575214499999999,26.57989
44,44,0.0035,0.01,0.059528435,24.516075
45,45,0.0035,0.01,0.0615354,22.702075
46,46,0.0035,0.01,0.0635423699999999,21.12214
47,47,0.0035,0.01,0.06554931,19.74805
48,48,0.0035,0.01,0.0675562349999999,18.526954999999997
49,49,0.0035,0.01,0.0695631799999999,17.418365
50,50,0.0035,0.01,0.0715701149999999,16.415860000000002
51,51,0.0035,0.01,0.073577145,15.526055
52,52,0.0035,0.01,0.075584175,14.74063
53,53,0.0035,0.01,0.07759122,14.030625
54,54,0.0035,0.01,0.07959828,13.38644
55,55,0.0035,0.01,0.08160534,12.83102
56,56,0.0035,0.01,0.083612405,12.363145
57,57,0.0035,0.01,0.0856194649999999,11.905015
58,58,0.0035,0.01,0.087626525,11.419715
59,59,0.0035,0.01,0.089633525,10.92312
60,60,0.0035,0.01,0.09164043,10.429564999999998
61,61,0.0035,0.01,0.0936473449999999,9.941621
62,62,0.0035,0.01,0.095654255,9.460431
63,63,0.0035,0.01,0.097661175,8.989693000000003
64,64,0.0035,0.01,0.099668065,8.533798
65,65,0.0035,0.01,0.101675,8.096248
66,66,0.0035,0.01,0.1036818499999999,7.679313999999998
67,67,0.0035,0.01,0.1056888499999999,7.284262500000001
68,68,0.0035,0.01,0.1076954999999999,6.911676
69,69,0.0035,0.01,0.1097024,6.561657000000001
70,70,0.0035,0.01,0.11170915,6.233951499999999
71,71,0.0035,0.01,0.11371585,5.927988
72,72,0.0035,0.01,0.1157225499999999,5.642837
73,73,0.0035,0.01,0.1177295,5.3770275000000005
74,74,0.0035,0.01,0.11973615,5.127791
75,75,0.0035,0.01,0.1217428499999999,4.8873865
76,76,0.0035,0.01,0.1237595499999999,4.6275285
77,77,0.0035,0.01,0.12604845,4.662213499999999
78,78,0.0035,0.01,0.128458,4.7819585
79,79,0.0035,0.01,0.13086795,4.868623
0,0,0.0035,0.02,0.0013140025499999,8.2953555
1,1,0.0035,0.02,0.0044508555,10.325833
2,2,0.0035,0.02,0.007624085,12.7784
3,3,0.0035,0.02,0.010794516,16.727925000000003
4,4,0.0035,0.02,0.013546255,22.39137
5,5,0.0035,0.02,0.0145214749999999,24.300845
6,6,0.0035,0.02,0.0152537199999999,25.327585
7,7,0.0035,0.02,0.015986115,28.348475
8,8,0.0035,0.02,0.01669791,36.08104
9,9,0.0035,0.02,0.017427385,51.480185000000006
10,10,0.0035,0.02,0.0181702199999999,80.87849500000002
11,11,0.0035,0.02,0.0191469,97.9397
12,12,0.0035,0.02,0.02015454,96.78731
13,13,0.0035,0.02,0.021199595,97.799555
14,14,0.0035,0.02,0.022252235,98.246825
15,15,0.0035,0.02,0.023304885,98.523705
16,16,0.0035,0.02,0.024344335,99.00661999999998
17,17,0.0035,0.02,0.02535763,97.99497
18,18,0.0035,0.02,0.026407375,96.12650500000002
19,19,0.0035,0.02,0.0274105999999999,95.34385500000002
20,20,0.0035,0.02,0.028463315,96.699145
21,21,0.0035,0.02,0.029515985,98.521195
22,22,0.0035,0.02,0.03056863,100.25361
23,23,0.0035,0.02,0.031621275,101.99439999999998
24,24,0.0035,0.02,0.032673915,103.6283
25,25,0.0035,0.02,0.033726555,105.1262
26,26,0.0035,0.02,0.034779205,106.51865
27,27,0.0035,0.02,0.03583185,107.8099
28,28,0.0035,0.02,0.03687697,109.02415
29,29,0.0035,0.02,0.037885355,110.6128
30,30,0.0035,0.02,0.0393500899999999,98.86495999999998
31,31,0.0035,0.02,0.0413495049999999,80.22715
32,32,0.0035,0.02,0.043355985,66.633505
33,33,0.0035,0.02,0.0453625699999999,56.68280500000001
34,34,0.0035,0.02,0.04736921,49.20275
35,35,0.0035,0.02,0.04937585,43.35786
36,36,0.0035,0.02,0.05138249,38.64234
37,37,0.0035,0.02,0.053389135,34.741204999999994
38,38,0.0035,0.02,0.055395775,31.45122
39,39,0.0035,0.02,0.0574024199999999,28.641535
40,40,0.0035,0.02,0.0594090599999999,26.218925
41,41,0.0035,0.02,0.0614157199999999,24.1145
42,42,0.0035,0.02,0.0634224249999999,22.276190000000003
43,43,0.0035,0.02,0.065429135,20.663380000000004
44,44,0.0035,0.02,0.0674358799999999,19.243205000000003
