Pm,Po,Ps,hm,hs,LintletConst,DmotiveIn,DmotiveOut,Dthroat,alphaMotiveDiff,alphaMotiveConv,Lmch,alphaSuction,Lsuction,Dmix,Lmix,alphadiff,DdiffOut,Loutlet,Dsuc,ThicknessNozzle,ThicknessNozzleOuter,SimulatedIndicator,ConvergenceIndicator,CrashIndicator,Experiment_model_type,MeshRefinement,mfr_m,mfr_s,mfr_o,mfr_err,uni_alpha,uni_vel,ds1,eff
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.031456,40.0,0.05,0.03089725,0.2611296532375,17.7115,0.0575940188625,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,2.0423192,1.510077,-3.5524396,-4.340000000002675e-05,0.99602083,0.99602083,0.0240018832753062,0.2181689189361353
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.04528,40.0,0.05,0.05910655,0.0744003698125,17.9105,0.5884086605775,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0683566,-15.48537,13.416955,-5.840000000034706e-05,0.99999999,0.99999999,0.0460752264151178,-2.2090908516273737
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.037792,40.0,0.05,0.02571595,0.1248547946425,2.7865,0.1450341006075,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0418177,3.3928436,-5.4351055,-0.0004441999999995,0.99708792,0.99708792,0.0199237813525814,0.4903026980545573
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.030304,40.0,0.05,0.04183555,0.3619339854925,12.139499999999998,0.2923614658425,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0510053,-4.4272562,2.3761092,-0.0001417000000003,0.99999998,0.99999998,0.1699098344742371,-0.6369205759341248
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.041824,40.0,0.05,0.03895705,0.2008177491925,19.5025,0.2547343063925,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0557901,-2.6906853,0.63496802,7.28199999996404e-05,0.99999996,0.99999996,0.2584670849362664,-0.3861904612874725
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.0268479999999999,40.0,0.05,0.01938325,0.0960449729125,4.1795,0.0465866722125,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0265863,2.0803456,-4.1067321,0.0001997999999989,0.99232928,0.99232928,0.062768324919138,0.3028919932505194
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.040672,40.0,0.05,0.01535335,0.0392654249574999,19.3035,0.0672668646875,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.03332,1.0551182,-3.0883591,7.909999999977657e-05,0.99761568,0.99761568,0.0550749468762402,0.1531132548994135
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.00784,40.0,0.05,0.00729355,0.0434261613775,18.7065,0.0490028097075,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,1.9863792,-0.66913651,-1.3214081,-0.0041654099999999,0.99632905,0.99632905,0.0926600069004423,-0.0993962443157563
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.026272,40.0,0.05,0.01708045,0.1580069728375,9.950499999999998,0.0425875400075,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0238996,1.4350499,-3.4590162,-6.670000000008613e-05,0.98602611,0.98602611,0.093894096418007,0.2092162652395648
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.034336,40.0,0.05,0.03953275,0.0300152404375,12.7365,0.1056769706625,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,2.0514437,-7.2697286,5.2182823,-2.5999999992976086e-06,0.99989183,0.99989183,0.034551722567478,-1.0456251052149252
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.038944,40.0,0.05,0.03377575,0.1437411480625,14.527499999999998,0.1145791655125,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0495902,-0.98406774,-1.0650608,0.00046166,0.99979789,0.99979789,0.0315869745292248,-0.1416691753767213
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.061408,40.0,0.05,0.05565235,0.1200894234475,14.1295,0.1137450555475,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,2.0708196,-11.023493,8.9526743,8.999999998593466e-07,0.99996675,0.99996675,0.0578012827548318,-1.5707040760690507
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.044128,40.0,0.05,0.02341315,0.0458441183575,2.1895,0.1741434977274999,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0440678,3.1363,-5.1804369,-6.910000000015515e-05,0.99998397,0.99998397,0.0212827691088022,0.4527304527478218
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.048736,40.0,0.05,0.03665425,0.1340207669875,4.975499999999999,0.0551444864125,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0581097,-1.5749651,-0.48305086,9.374000000011984e-05,0.99986774,0.99986774,0.0152505149567459,-0.2257978602438638
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.036064,40.0,0.05,0.05392525,0.3641706945625001,2.9855,0.2265642416125,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0635998,-10.202253,8.139089,0.0004357999999999,0.99999998,0.99999998,0.0751554529621316,-1.4587740161624363
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.02224,40.0,0.05,0.01880755,0.1758628174075,19.7015,0.0705649872225,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0224478,1.8556674,-3.8782771,-0.0001619000000001,0.99674094,0.99674094,0.041416459151369,0.2707323942596447
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.015904,40.0,0.05,0.03550285,0.2362128870475,6.567499999999999,0.3438575282475,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,2.035499,-1.7136394,-0.32187241,-1.2809999999752186e-05,0.99998077,0.99998077,0.0290020249067971,-0.2484082140884507
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.0637119999999999,40.0,0.05,0.01189915,0.0649045086325,18.5075,0.0927830271675,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0469294,0.14648989,-2.1893404,0.0040788899999997,0.99971542,0.99971542,0.1110968870046908,0.0211165126079118
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.063136,40.0,0.05,0.02744305,0.2045207022775,7.761499999999999,0.2509927631475,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0594842,2.7318674,-4.7919855,-0.0006338999999995,0.99999578,0.99999578,0.0167585207452922,0.3913979603428378
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.007264,40.0,0.05,0.03032155,0.0866332165825,15.3235,0.0865058660725,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,2.0229485,-2.6690845,0.64614591,9.910000000168395e-06,0.99979039,0.99979039,0.0206060911948276,-0.3893094120983335
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.023392,40.0,0.05,0.06198505,0.3814466999424999,11.5425,0.6114918160074999,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,2.0630132,-16.344951,14.281891,-4.6799999998015096e-05,0.99999996,0.99999996,0.0464091695416956,-2.337755154008254
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.014176,40.0,0.05,0.06371215,0.0865625125975,0.3984999999999999,0.3192329131825001,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0596399,-17.80363,19.248421,3.5044309000000027,0.99999995,0.99999995,0.0706885368679563,-2.55055486755094
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.035488,40.0,0.05,0.06256075,0.1724956279375,17.3135,0.3865785144374999,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0673917,-16.737442,14.669875,-0.0001753000000022,0.99999998,0.99999998,0.0436296577557815,-2.388821634788762
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.028576,40.0,0.05,0.05507665,0.4269679599625,12.338499999999998,0.3155754353375,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0611978,-11.496235,9.4346495,-0.0003876999999992,0.99999996,0.99999996,0.0662558032834496,-1.645710232883301
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.0164799999999999,40.0,0.05,0.04989535,0.1924039539025,2.5875,0.1737480825375,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,2.0492798,-9.5082294,7.4589384,-1.1199999999433883e-05,0.99999998,0.99999998,0.0880887812292031,-1.3690389333031834
