Pm,Po,Ps,hm,hs,LintletConst,DmotiveIn,DmotiveOut,Dthroat,alphaMotiveDiff,alphaMotiveConv,Lmch,alphaSuction,Lsuction,Dmix,Lmix,alphadiff,DdiffOut,Loutlet,Dsuc,ThicknessNozzle,ThicknessNozzleOuter,SimulatedIndicator,ConvergenceIndicator,CrashIndicator,Experiment_model_type,MeshRefinement,mfr_m,mfr_s,mfr_o,mfr_err,uni_alpha,uni_vel,ds1,eff
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00202691025,0.00141,3.0,35.0,0.0042,42.0,0.02,0.00881445,0.07515618756375,13.36025,0.0518014208437499,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.078544394,-0.4586024,0.38005143,-6.575999999980375e-06,0.99999997,0.99999997,0.0608502937736745,-3.4018410284454648
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00166764225,0.00141,3.0,35.0,0.0042,42.0,0.02,0.01039695,0.07930143650625,60.55775000000001,0.03245381950125,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,0.077590173,0.0054341218,-0.083363769,-0.0003394742,0.56242272,0.56242272,0.0713775418781558,0.0408052020901217
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00161582475,0.00141,3.0,35.0,0.0042,42.0,0.02,0.00666225,0.03584040665625,38.08275,0.01840163416875,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.0783472,-0.17165283,0.093305318,-3.120000000023105e-07,0.99736556,0.99736556,0.2048158805253834,-1.2764986876570386
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00157782525,0.00141,3.0,35.0,0.0042,42.0,0.02,0.00223125,0.01768728609375,42.57775000000001,0.00242062734375,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.07756882,0.0039873487,-0.081556281,-1.1229999999362585e-07,0.0014927741,0.0014927741,0.0624910244673872,0.0299495234938452
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00190945725,0.00141,3.0,35.0,0.0042,42.0,0.02,0.01140975,0.00438847509375,29.991750000000003,0.02946425315625,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.078919922,-0.94995485,0.87103406,-8.679999999872123e-07,0.99521889,0.99521889,0.0114987690123025,-7.013086601855266
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00170218725,0.00141,3.0,35.0,0.0042,42.0,0.02,0.00425685,0.02183710839375,6.1682500000000005,0.02272210750875,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077980185,0.060047692,-0.13802819,-3.130000000017841e-07,0.99968232,0.99968232,0.0207620399356741,0.4486471808418617
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00198200175,0.00141,3.0,35.0,0.0042,42.0,0.02,0.0078016499999999,0.0084564034762499,83.03275000000001,0.01266968455875,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.078403951,-0.3232893,0.24488481,-5.3899999999385e-07,0.99048401,0.99048401,0.1002153679891023,-2.402405243741379
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00200272875,0.00141,3.0,35.0,0.0042,42.0,0.02,0.00843465,0.05590802319375,24.597750000000005,0.03264399329625,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.078504554,-0.40914654,0.33062637,-1.5615999999996077e-05,0.99969424,0.99969424,0.0705570734687374,-3.036525391568045
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00155364375,0.00141,3.0,35.0,0.0042,42.0,0.02,0.01071345,0.01268284994625,27.744250000000005,0.02702440978875,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.079028001,-0.78785172,0.70882696,3.24099999993166e-06,0.99448923,0.99448923,0.0212480597992477,-5.808398112756223
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.0015156442499999,0.00141,3.0,35.0,0.0042,42.0,0.02,0.00368715,0.01044265405125,12.910750000000002,0.01912902637875,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077909963,0.043151231,-0.12105776,3.4339999999966064e-06,0.99497561,0.99497561,0.0456006489817836,0.3226956241857213
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00202345575,0.00141,3.0,35.0,0.0042,42.0,0.02,0.00862455,0.02356464235125,22.350250000000003,0.03441217011375,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.07853016,-0.44517317,0.36665028,7.270000000003662e-06,0.99927622,0.99927622,0.0617393289021945,-3.302823641701525
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00204418275,0.00141,3.0,35.0,0.0042,42.0,0.02,0.01267575,0.08275331698125,45.27475,0.08702187579375,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.079003917,-1.1366723,1.0576774,9.017000000000053e-06,0.99999998,0.99999998,0.0042128079191215,-8.382615332550909
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00181618575,0.00141,3.0,35.0,0.0042,42.0,0.02,0.00925755,0.09095704882125,44.37575,0.06300063645375,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.078662057,-0.51948174,0.44082834,8.656999999967496e-06,0.99999999,0.99999999,0.0520143339506801,-3.847670489297039
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00197509275,0.00141,3.0,35.0,0.0042,42.0,0.02,0.00356055,0.0193322732662499,52.91625,0.01143408322875,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077811089,0.032808399,-0.11062092,-1.431999999995659e-06,0.93267454,0.93267454,0.0353632805452934,0.2456611210214203
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00153982575,0.00141,3.0,35.0,0.0042,42.0,0.02,0.00463665,0.02007982423875,31.789750000000005,0.01461205472625,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.078079899,0.034039151,-0.11211979,-7.399999999990747e-07,0.99246511,0.99246511,0.0436023290785269,0.2539992073825182
